Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,Fare_normalized
0,3,1,4,1,0,1.0,0.014151057562208049
1,1,0,5,1,0,2.0,0.13913573538264068
1,3,0,5,0,0,1.0,0.015468569817999833
1,1,0,5,1,0,1.0,0.10364429745562033
0,3,1,5,0,0,1.0,0.015712553569072387
0,3,1,5,0,0,0.0,0.01650950209357577
0,1,1,6,0,0,1.0,0.10122885832000206
0,3,1,1,3,1,1.0,0.04113566043083236
1,3,0,5,0,2,1.0,0.021730754366528396
1,2,0,2,1,0,2.0,0.058694292654020104
1,3,0,1,1,1,1.0,0.03259622914329302
1,1,0,6,0,0,1.0,0.051822148727810165
0,3,1,4,0,0,1.0,0.015712553569072387
0,3,1,5,1,5,1.0,0.06104473451835265
0,3,0,2,0,0,1.0,0.015330377421392339
1,2,0,6,0,0,1.0,0.03122992013728673
0,3,1,1,4,1,0.0,0.05684821399990475
1,2,1,5,0,0,1.0,0.025374310111545468
0,3,0,5,1,0,1.0,0.03513366015444757
1,3,0,5,0,0,2.0,0.014102260811993537
0,2,1,5,0,0,1.0,0.050748620223090936
1,2,1,5,0,0,1.0,0.025374310111545468
1,3,0,2,0,0,0.0,0.015671954672893913
1,1,1,5,0,0,1.0,0.06929138530460494
0,3,0,1,3,1,1.0,0.04113566043083236
1,3,0,5,1,5,1.0,0.06126431989431795
0,3,1,5,0,0,2.0,0.014102260811993537
0,1,1,4,3,2,1.0,0.5133418122566507
1,3,0,5,0,0,0.0,0.01537917417160685
0,3,1,5,0,0,1.0,0.015411575213749286
0,1,1,5,0,0,2.0,0.05410739813385612
1,1,0,5,1,0,2.0,0.2859895551532101
1,3,0,5,0,0,0.0,0.015126992566498259
0,2,1,7,0,0,1.0,0.020494635090094415
0,1,1,5,1,0,2.0,0.16038672010106003
0,1,1,6,1,0,1.0,0.10149724044618187
1,3,1,5,0,0,2.0,0.014110458666029575
0,3,1,4,0,0,1.0,0.015712553569072387
0,3,0,3,2,0,1.0,0.03513366015444757
1,3,0,2,1,0,2.0,0.021942337075458514
0,3,0,5,1,0,1.0,0.018493968331299484
0,2,0,5,1,0,1.0,0.04098927018018883
0,3,1,5,0,0,2.0,0.015411575213749286
1,2,0,1,1,2,2.0,0.08115719346076702
1,3,0,4,0,0,0.0,0.01537917417160685
0,3,1,5,0,0,1.0,0.015712553569072387
0,3,1,5,1,0,0.0,0.030253985132996517
1,3,0,5,0,0,0.0,0.015126992566498259
0,3,1,5,2,0,2.0,0.04231498029001666
0,3,0,3,1,0,1.0,0.034743286152731485
0,3,1,1,4,1,1.0,0.07746484096553544
0,3,1,4,0,0,1.0,0.01522458606692728
1,1,0,6,1,0,2.0,0.1497654242623688
1,2,0,5,1,0,1.0,0.050748620223090936
0,1,1,7,0,1,2.0,0.1209753416358076
1,1,1,5,0,0,1.0,0.06929138530460494
1,2,0,4,0,0,1.0,0.020494635090094415
0,3,1,5,0,0,2.0,0.014110458666029575
1,2,0,1,1,2,1.0,0.05416439273810667
0,3,1,2,5,2,1.0,0.09154270340242172
0,3,1,4,0,0,2.0,0.014110458666029575
0,1,1,6,1,0,1.0,0.16293234896625058
0,3,1,1,3,2,1.0,0.05445717323939373
0,1,1,5,0,0,2.0,0.05410739813385612
